Character Counts:
Uppercase: 1927
Lowercase: 48233
Numeric: 42
Special: 2875
Spaces: 11697
Newlines: 755

Word Frequencies:
the: 624
project: 6
gutenberg: 6
ebook: 5
of: 332
adventures: 5
sherlock: 19
holmes: 67
by: 50
sir: 9
arthur: 4
conan: 4
doyle: 4
15: 2
in: 207
our: 18
series: 1
copyright: 2
laws: 2
are: 37
changing: 1
all: 48
over: 17
world: 3
be: 81
sure: 7
to: 334
check: 2
for: 83
your: 63
country: 4
before: 17
downloading: 1
or: 28
redistributing: 1
this: 50
any: 12
other: 18
header: 2
should: 22
first: 6
thing: 5
seen: 11
when: 44
viewing: 1
file: 3
please: 3
do: 35
not: 88
remove: 2
it: 201
change: 3
edit: 1
without: 12
written: 4
permission: 1
read: 9
legal: 3
small: 11
print: 1
and: 353
information: 4
about: 18
at: 78
bottom: 1
included: 1
is: 134
important: 3
specific: 1
rights: 1
restrictions: 1
how: 29
may: 23
used: 3
you: 180
can: 17
also: 6
find: 9
out: 33
make: 11
a: 321
donation: 1
get: 5
involved: 1
welcome: 1
free: 1
plain: 1
vanilla: 1
electronic: 1
texts: 1
ebooks: 2
readable: 1
both: 7
humans: 1
computers: 1
since: 5
1971: 1
these: 5
were: 33
prepared: 1
thousands: 2
volunteers: 1
title: 3
author: 1
release: 1
date: 2
march: 2
1999: 1
1661: 1
most: 18
recently: 1
updated: 1
november: 1
29: 1
2002: 1
edition: 1
12: 1
language: 1
english: 4
character: 5
set: 2
encoding: 1
ascii: 1
start: 1
additional: 1
editing: 1
jose: 1
menendez: 1
contents: 1
i: 359
scandal: 5
bohemia: 9
ii: 3
red: 21
headed: 11
league: 10
iii: 2
case: 11
identity: 1
iv: 1
boscombe: 1
valley: 1
mystery: 3
v: 1
five: 10
orange: 3
pips: 1
vi: 1
man: 35
with: 100
twisted: 1
lip: 2
vii: 1
adventure: 8
blue: 3
carbuncle: 1
viii: 1
speckled: 1
band: 1
ix: 1
engineer: 1
s: 42
thumb: 1
x: 1
noble: 2
bachelor: 3
xi: 1
beryl: 2
coronet: 1
xii: 1
copper: 2
beeches: 1
she: 71
always: 8
woman: 14
have: 96
seldom: 3
heard: 14
him: 31
mention: 1
her: 48
under: 10
name: 10
his: 143
eyes: 13
eclipses: 1
predominates: 1
whole: 6
sex: 1
was: 154
that: 172
he: 173
felt: 3
emotion: 2
akin: 2
love: 6
irene: 14
adler: 13
emotions: 1
one: 37
particularly: 2
abhorrent: 1
cold: 2
precise: 1
but: 77
admirably: 3
balanced: 1
mind: 9
take: 7
perfect: 1
reasoning: 3
observing: 2
machine: 1
has: 35
as: 99
lover: 1
would: 39
placed: 1
himself: 7
false: 3
position: 2
never: 13
spoke: 3
softer: 1
passions: 1
save: 4
gibe: 1
sneer: 1
they: 18
admirable: 2
things: 4
observer: 1
excellent: 3
drawing: 2
veil: 1
from: 55
men: 17
motives: 1
actions: 1
trained: 2
reasoner: 3
admit: 2
such: 15
intrusions: 1
into: 38
own: 20
delicate: 4
finely: 1
adjusted: 2
temperament: 1
introduce: 1
distracting: 1
factor: 2
which: 69
might: 15
